epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.1252,3.0051,18.3224,1.64627,0.26851,0.26316,0.1559,0.05484,2.1984,9.69678,1.20931,0.00036,0.00036,0.00036
2,174.178,2.28219,2.80872,1.16392,0.47824,0.50202,0.40521,0.16264,2.05557,3.63348,1.09846,0.000725348,0.000725348,0.000725348
3,260.438,2.27055,1.90951,1.15616,0.77485,0.51554,0.5928,0.22945,2.1164,2.55532,1.16363,0.00107565,0.00107565,0.00107565
4,345.696,2.18656,1.57328,1.09635,0.82292,0.49798,0.62179,0.25306,1.90941,1.59912,1.09477,0.0014109,0.0014109,0.0014109
5,430.866,2.11655,1.59543,1.12378,0.67626,0.51822,0.53472,0.17466,2.29512,2.0698,1.18321,0.0017311,0.0017311,0.0017311
6,517.714,2.16963,1.49094,1.1229,0.61962,0.3957,0.45192,0.18578,2.04169,1.76537,1.1519,0.001802,0.001802,0.001802
7,603.371,2.13242,1.66413,1.12343,0.76625,0.59919,0.67397,0.2574,2.07814,1.59156,1.16587,0.0017624,0.0017624,0.0017624
8,687.739,2.11344,1.33905,1.137,0.67136,0.63563,0.66439,0.27872,1.86892,1.27197,1.08359,0.0017228,0.0017228,0.0017228
9,772.066,1.98359,1.15005,1.06439,0.81693,0.65182,0.7191,0.30029,1.78693,1.57711,1.05207,0.0016832,0.0016832,0.0016832
10,8857.03,1.81772,1.07983,1.03689,0.85978,0.64777,0.73335,0.30056,1.83382,1.20398,1.07523,0.0016436,0.0016436,0.0016436
11,8944.44,1.94987,1.12088,1.04941,0.79052,0.7004,0.7412,0.33662,1.75686,1.03196,1.0397,0.001604,0.001604,0.001604
12,9034.39,1.91133,1.07688,1.06204,0.86819,0.7085,0.80446,0.38058,1.66857,0.95504,0.99629,0.0015644,0.0015644,0.0015644
13,9124.85,1.95343,1.06069,1.07118,0.83647,0.70445,0.78275,0.36392,1.76292,0.98886,1.02134,0.0015248,0.0015248,0.0015248
14,9213.69,1.84605,1.03572,1.03799,0.83132,0.75819,0.8209,0.3943,1.68691,0.9737,1.00344,0.0014852,0.0014852,0.0014852
15,9304.73,1.99697,1.09526,1.02707,0.78844,0.69407,0.76261,0.33437,1.77552,1.0308,1.01252,0.0014456,0.0014456,0.0014456
16,9392.88,1.91122,1.09167,1.01816,0.90207,0.69636,0.80132,0.35173,1.75893,1.06705,1.03065,0.001406,0.001406,0.001406
17,9480.6,1.84105,1.02153,1.04333,0.84574,0.74899,0.82271,0.36487,1.67106,1.0238,1.00512,0.0013664,0.0013664,0.0013664
18,9568.65,1.84116,1.00261,1.01136,0.91277,0.74089,0.82348,0.42033,1.59121,0.89695,0.99662,0.0013268,0.0013268,0.0013268
19,9655.98,1.86367,0.99368,1.01595,0.92689,0.80162,0.88884,0.43355,1.57288,0.84555,0.98195,0.0012872,0.0012872,0.0012872
20,9744.43,1.67991,0.93962,0.98449,0.89262,0.84134,0.90783,0.46351,1.53953,0.77297,0.96592,0.0012476,0.0012476,0.0012476
21,9832.69,1.74078,0.97904,1.02507,0.91665,0.84597,0.9083,0.45807,1.5272,0.77649,0.95674,0.001208,0.001208,0.001208
22,9920.66,1.76013,0.92435,0.98733,0.9112,0.78543,0.8841,0.43632,1.51916,0.78126,0.94812,0.0011684,0.0011684,0.0011684
23,10007.6,1.71732,0.89868,0.97474,0.92098,0.77733,0.87179,0.41483,1.55401,0.78719,0.96216,0.0011288,0.0011288,0.0011288
24,10095.9,1.66388,0.88177,0.98862,0.87566,0.80162,0.86373,0.43657,1.56842,0.81035,0.96268,0.0010892,0.0010892,0.0010892
25,10183.2,1.63987,0.83632,0.9832,0.92971,0.76113,0.84573,0.43202,1.51723,0.76909,0.95574,0.0010496,0.0010496,0.0010496
26,10268.8,1.64644,0.79663,0.94767,0.91911,0.73601,0.81274,0.36766,1.64542,0.8224,0.98152,0.00101,0.00101,0.00101
27,10355,1.64835,0.86496,0.99065,0.94829,0.77733,0.86009,0.45508,1.48024,0.72872,0.9456,0.0009704,0.0009704,0.0009704
28,10441.7,1.63326,0.84651,0.96138,0.92074,0.85425,0.89946,0.4838,1.42799,0.7209,0.94491,0.0009308,0.0009308,0.0009308
